Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Alex -7631",315099.90,-210760.52,-40.18,-2333.42,-.74,85322.99,341291.96,85322.99


View Summary - 2
Symbol,Date Added,Last Price $,Change %,Quantity,Total Gain $,Price Paid $,Total Gain %,Day's Gain %,Day's Gain $,Value $
     05/18/2011,05/18/2011,2.215,0.00,208.3333,-4748.5317,24.96,-91.1428,.0000,.0000,461.4583
     05/18/2011,05/18/2011,2.215,0.00,41.6667,-952.6983,24.84,-91.1682,.0000,.0000,92.2917
     08/16/2011,08/16/2011,2.215,0.00,8.3333,-118.5317,15.24,-86.5258,.0000,.0000,18.4583
     08/16/2011,08/16/2011,2.215,0.00,408.3333,-5367.5417,15.36,-85.5794,.0000,.0000,904.4583
     11/23/2011,11/23/2011,2.215,0.00,416.6667,-2987.0733,9.36,-76.3959,.0000,.0000,922.9167
     06/11/2012,06/11/2012,2.215,0.00,833.3333,-2944.1567,5.736,-61.4648,.0000,.0000,1845.8333
NBGIF,05/16/2018,3.29,0.00,44000.0000,6911.3000,3.13293,5.0137,.0000,.0000,144760.0000
     05/16/2018,05/16/2018,3.29,0.00,10000.0000,-1106.9500,3.40069,-3.2551,.0000,.0000,32900.0000
     05/21/2018,05/21/2018,3.29,0.00,2403.0000,-151.1295,3.35289,-1.8758,.0000,.0000,7905.8700
     05/23/2018,05/23/2018,3.29,0.00,7597.0000,-462.7789,3.35092,-1.8179,.0000,.0000,24994.1300
     05/24/2018,05/24/2018,3.29,0.00,10000.0000,-311.9500,3.32119,-.9393,.0000,.0000,32900.0000
     08/10/2018,08/10/2018,3.29,0.00,4000.0000,1393.0480,2.94174,11.8386,.0000,.0000,13160.0000
     08/14/2018,08/14/2018,3.29,0.00,5000.0000,2601.0500,2.76979,18.7816,.0000,.0000,16450.0000
     09/07/2018,09/07/2018,3.29,0.00,5000.0000,4950.0000,2.30,43.0435,.0000,.0000,16450.0000
NBGIF,05/16/2018,3.29,0.00,11900.0000,4143.2522,2.93975,11.8352,.0000,.0000,39151.0000
     05/16/2018,05/16/2018,3.29,0.00,5000.0000,-804.9500,3.45,-4.6650,.0000,.0000,16450.0000
     07/06/2018,07/06/2018,3.29,0.00,1465.1000,346.6690,3.05,7.7494,.0000,.0000,4820.1790
     07/09/2018,07/09/2018,3.29,0.00,534.9000,123.4212,3.05,7.5422,.0000,.0000,1759.8210
     05/06/2019,05/06/2019,3.29,0.00,2400.0000,2707.0512,2.16,52.1695,.0000,.0000,7896.0000
     08/07/2019,08/07/2019,3.29,0.00,500.0000,351.0500,2.578,27.1301,.0000,.0000,1645.0000
     08/07/2019,08/07/2019,3.29,0.00,2000.0000,1420.0000,2.58,27.5194,.0000,.0000,6580.0000
SQBG,10/23/2005,0.34,2.22,1391.0000,-44045.6791,32.00476,-98.9377,2.2249,10.2934,472.9400
     10/23/2005,10/23/2005,0.34,2.22,695.2000,-24512.2619,35.5993,-99.0449,2.2249,5.1445,236.3680
     03/19/2006,03/19/2006,0.34,2.22,695.8000,-19533.4181,28.41332,-98.8034,2.2249,5.1489,236.5720
TWTR,02/09/2015,33.12,-2.27,3500.0000,-43277.7090,45.4765,-27.1849,-2.2721,-2695.0000,115920.0000
     02/09/2015,02/09/2015,33.12,-2.27,2500.0000,-34209.9900,46.80,-29.2368,-2.2721,-1925.0000,82800.0000
     05/15/2015,05/15/2015,33.12,-2.27,1000.0000,-9067.7200,42.1677,-21.4937,-2.2721,-770.0000,33120.0000
UTSI,08/20/2004,2.83,1.07,999.0000,-44574.8196,47.43945,-94.0358,1.0714,29.9700,2827.1700
     08/20/2004,08/20/2004,2.83,1.07,333.0000,-20935.1499,65.69832,-95.6924,1.0714,9.9900,942.3900
     02/20/2005,02/20/2005,2.83,1.07,333.0000,-16550.0900,52.50,-94.6126,1.0714,9.9900,942.3900
     06/03/2005,06/03/2005,2.83,1.07,333.0000,-7089.5800,24.12003,-88.2670,1.0714,9.9900,942.3900
CASH,,,,,,,,,,3667.41,
TOTAL,,,,,-211027.59,523335.08,-40.32,-.84,-2648.42,315974.90,



Generated at 01/24/2020 03:42:25 PM ET
